,conferenceseries,conferenceseries_name,publication,category,subcategory,h5_index,h5_median
0,<http://scigraph.springernature.com/things/conference-series/d1c96e4e4e79ba53e2bcabdc2a9bc077>,International Conference on Financial Cryptography and Data Security,International Conference on Financial Cryptography and Data Security,Engineering & Computer Science,Computer Security & Cryptography,43,74
1,<http://scigraph.springernature.com/things/conference-series/e53a015075b530964c8f90c96aabb624>,International Conference on Intelligent Text Processing and Computational Linguistics,International Conference on Intelligent Text Processing and Computational Linguistics,Engineering & Computer Science,Computational Linguistics,20,32
2,<http://scigraph.springernature.com/things/conference-series/5d4120ac31be507aabd200490b5d076e>,International Conference on Parallel Problem Solving from Nature,International Conference on Parallel Problem Solving from Nature,Engineering & Computer Science,Evolutionary Computation,19,22
3,<http://scigraph.springernature.com/things/conference-series/17b3fdf393d3480f61dd30a125c9489a>,European Conference on Computer Vision,European Conference on Computer Vision,Engineering & Computer Science,Computer Vision & Pattern Recognition,137,263
4,<http://scigraph.springernature.com/things/conference-series/b02d823f1fd3fdc0fbe24dc4201b014a>,International Conference on Natural Computation,International Conference on Natural Computation,Engineering & Computer Science,Evolutionary Computation,14,20
5,<http://scigraph.springernature.com/things/conference-series/ce4a4d8bd6dc2671bb7b1e1ea2456278>,"International Conference on Computer Safety, Reliability, and Security","International Conference on Computer Safety, Reliability, and Security",Engineering & Computer Science,Quality & Reliability,16,21
6,<http://scigraph.springernature.com/things/conference-series/8322b82d4eae4a154a779379c4341dc3>,International Conference on Information Processing and Management of Uncertainty in Knowledge-Based Systems,International Conference on Information Processing and Management of Uncertainty in Knowledge-Based Systems,Engineering & Computer Science,Fuzzy Systems,12,16
7,<http://scigraph.springernature.com/things/conference-series/e77f0864948346cab903b7fca8e500a3>,European Symposium on Algorithms,European Symposium on Algorithms,Engineering & Computer Science,Theoretical Computer Science,24,29
8,<http://scigraph.springernature.com/things/conference-series/157cb7db1db5ca1ed9acd084485107cf>,International Conference on Information and Knowledge Management,ACM International Conference on Information and Knowledge Management,Engineering & Computer Science,Databases & Information Systems,48,76
9,<http://scigraph.springernature.com/things/conference-series/f0b09489d32d9a1d1678049b2a49a6a6>,Annual International Conference on Research in Computational Molecular Biology,International Conference on Research in Computational Molecular Biology,Engineering & Computer Science,Bioinformatics & Computational Biology,23,43
10,<http://scigraph.springernature.com/things/conference-series/00f51105581c7e4311d6490dbabd56ab>,International Conference on Web Engineering,International Conference on Data Engineering,Engineering & Computer Science,Databases & Information Systems,51,71
11,<http://scigraph.springernature.com/things/conference-series/694528d932dcebf177460146ac1b88f7>,International Conference on Computer Aided Verification,International Conference on Computer Aided Verification (CAV),Engineering & Computer Science,Computer Hardware Design,38,56
12,<http://scigraph.springernature.com/things/conference-series/06e211607929d26c2d697fc2038b0f9e>,International Conference on Artificial Intelligence in Education,International Journal of Artificial Intelligence in Education,Engineering & Computer Science,Educational Technology,29,54
13,<http://scigraph.springernature.com/things/conference-series/654dc2a6e890a6c997d96bfba035b0c2>,Pacific-Asia Conference on Knowledge Discovery and Data Mining,Pacific-Asia Conference on Knowledge Discovery and Data Mining (PAKDD),Engineering & Computer Science,Data Mining & Analysis,23,31
14,<http://scigraph.springernature.com/things/conference-series/68e7181fa799e9cc9551905bfd0ca97b>,International Conference on Model and Data Engineering,International Conference on Data Engineering,Engineering & Computer Science,Databases & Information Systems,51,71
15,<http://scigraph.springernature.com/things/conference-series/6026af0620d13f044cee281652328d09>,International Joint Conference on Artificial Intelligence,International Joint Conference on Artificial Intelligence (IJCAI),Engineering & Computer Science,Artificial Intelligence,67,100
16,<http://scigraph.springernature.com/things/conference-series/aa108c4768903f58ac9bdd4b006a786f>,International Symposium on Computer Architecture,International Symposium on Computer Architecture (ISCA),Engineering & Computer Science,Computing Systems,56,98
17,<http://scigraph.springernature.com/things/conference-series/59b51b4ff707e09362f39de43bac44ad>,International Conference on Human-Computer Interaction,International Journal of Human-Computer Interaction,Engineering & Computer Science,Human Computer Interaction,31,47
18,<http://scigraph.springernature.com/things/conference-series/d895faf9e492baa442e9e163eb0b57a8>,"International Colloquium on Automata, Languages, and Programming","International Colloquium on Automata, Languages and Programming (ICALP)",Engineering & Computer Science,Theoretical Computer Science,32,42
19,<http://scigraph.springernature.com/things/conference-series/77e18cbafcd32c659ed724b2a78834e2>,International Workshop on Human-Computer Interaction,International Journal of Human-Computer Interaction,Engineering & Computer Science,Human Computer Interaction,31,47
20,<http://scigraph.springernature.com/things/conference-series/b85022df6a9544dc8a82cd4fb5a2060a>,International Conference on Arts and Technology,International Conference on 3D Web Technology,Engineering & Computer Science,Computer Graphics,14,20
21,<http://scigraph.springernature.com/things/conference-series/1b5a978292ea2f770be773055f098555>,International Conference on Object Databases,International Conference on Very Large Databases,Engineering & Computer Science,Databases & Information Systems,74,103
