SciGraphID,conferenceseries,conferenceseries_name,WikiCFP Conference Series Name,WikiCFP EventID,WikiCFP Acronyms,Notes
7414,<http://scigraph.springernature.com/things/conference-series/f3eef2f5418e098f00284dad0d5bc2d8>,International Symposium on Functional and Logic Programming,International Symposium on Functional and Logic Programming,"5773, 18085, 31871, 48271, 65962","FLOPS 2010, FLOPS 2012, FLOPS 2014, FLOPS 2016, FLOPS 2018"
7360,<http://scigraph.springernature.com/things/conference-series/d756335bdf230885dd112341d2d131da>,International Conference on Theory and Practice of Digital Libraries,Theory and Practice of Digital Libraries,"13957, 20022, 26242, 43102, 48694, 60326","TPDL 2011, TPDL 2012, TPDL 2013, TPDL 2015, TPDL 2016, TPDL 2017"
6898,<http://scigraph.springernature.com/things/conference-series/75005f240bc05ca7759600d1a1e7e634>,International Conference on Advances in Speech and Language Technologies for Iberian Languages,,None,,not on WikiCFP
7911,<http://scigraph.springernature.com/things/conference-series/65c7edc258fda099097a1b1b559114bd>,International Workshop on Languages and Compilers for Parallel Computing,Languages and Compilers for Parallel Computing,"20657, 30614, 45042, 77699","LCPC 2012, LCPC 2013, LCPC 2015, LCPC 2018"
5889,<http://scigraph.springernature.com/things/conference-series/5c863dc198a0be83eb3bb607095abb19>,International Conference on Image and Signal Processing,International Conference on Image and Signal Processing,"1087, 19390, 29815, 59471, 70657","ICISP 2008, ICISP 2012, ICISP 2014, ICISP 2016, ICISP 2018"
6791,<http://scigraph.springernature.com/things/conference-series/f31e2dfc852554c52349d00a8909181c>,International Conference on Analytical and Stochastic Modeling Techniques and Applications,Analytical and Stochastic Modeling Techniques and Applications,34823,ASMTA 2014
7324,<http://scigraph.springernature.com/things/conference-series/9fdf73b756a82fd8117b5e49b9bf1ba7>,IFIP Annual Conference on Data and Applications Security and Privacy,Database Security,"4221, 7300, 12676, 19304, 27048, 35147, 41578, 50915, 60203, 72493","DBSEC 2009, DBSEC 2010, DBSEC 2011, DBSEC 2012, DBSEC 2013, DBSEC 2014, DBSEC 2015, DBSEC 2016, DBSEC 2017, DBSEC 2018"
5929,<http://scigraph.springernature.com/things/conference-series/c34778740cb0fcb8f4ecbc97cec5d571>,Conference of the Spanish Association for Artificial Intelligence,XV Conference of the Spanish Association for Artificial Intelligence,"5118, 15894, 15895, 29018","CAEPIA 2009, CAEPIA 2011, DC CAEPIA 2011, CAEPIA 2013",conference series not on WikiCFP
6821,<http://scigraph.springernature.com/things/conference-series/c12297e158214371b3a5a38dd39e63d5>,International Computer Science Symposium in Russia,Computer Science Symposium in Russia,"1843, 11718, 19149, 33536, 49743, 68361","CSR 2008, CSR 2011, CSR 2012, CSR 2014, CSR 2016, CSR 2018"
1060,<http://scigraph.springernature.com/things/conference-series/e40422273bdbb368604f780fdc959e39>,"International Conference on Global Security, Safety, and Sustainability","International Conference on Global Security, Safety, and Sustainability","13617, 75960","ICGS3 2011, ICGS3 2019"
7656,<http://scigraph.springernature.com/things/conference-series/7284b8baf659719aae8f937b94f62280>,International Conference on Smart Card Research and Advanced Applications,Smart Card Research and Advanced Application Conference,"6714, 25912, 31751, 54646, 63203","CARDIS 2010, CARDIS 2012, CARDIS 2013, CARDIS 2016, CARDIS 2017"
7139,<http://scigraph.springernature.com/things/conference-series/07c657f63170bcc1a8566e699b0b45bb>,International Conference on AI and OR Techniques in Constraint Programming for Combinatorial Optimization Problems,Integration of AI and OR Techniques in Constraint Programming,"1973, 25645, 32566, 40796, 57498, 68252","CPAIOR 2008, CPAIOR 2013, CPAIOR 2014, CPAIOR 2015, CPAIOR 2017, CPAIOR 2018 "
7249,<http://scigraph.springernature.com/things/conference-series/01a8761b4d8bfd107c1ca0d070eba014>,"International Conference on Human Aspects of Information Security, Privacy, and Trust",,None,,not on WikiCFP
