,wikicfp_conferenceseries
0,Testbeds and Research Infrastructures for the DEvelopment of NeTworks and COMmunities
1,International World Wide Web Conferences
2,Architectural Support for Programming Languages and Operating Systems
3,High Performance Bioinformatics and Biomedicine
4,Graph-based Methods for Natural Language Processing
5,European Conference on Computer Supported Cooperative Work
6,International Conference on Electronic Business
7,International Conference on Ultra Modern Telecommunications
8,"Design, Automation, and Test in Europe"
9,Human-Robot Interaction
10,Picture Coding Symposium
11,Symposium on Code Generation and Optimization
12,Communication Systems and Networks
13,Intelligent Human Computer Interaction
14,International Conference on Management of Data
15,ACM Symposium on Applied Computing
16,Requirements Engineering
17,"International Conference on Software Testing, Verification, and Validation"
18,Variability Modelling of Software-Intensive Systems
19,Intelligent Systems Design and Applications
20,Workflows in Support of Large-Scale Science
21,Model and Data Engineering
22,International Conference on Information Technology
23,Hardware-Oriented Security and Trust
24,Wireless Communications and Networking Conference
25,High-Performance Computer Architecture
26,Cluster Computing and the Grid
27,Cloud Computing
28,"Abstract State Machines, Alloy, B and Z"
29,International Conference on Software Engineering Advances
30,International Conference on Systems and Networks Communications
31,International Symposium on Computational Intelligence and Design
32,National Conference on Artificial Intelligence
33,Network Computing and Applications
34,International Conference on Pattern Recognition Applications and Methods
35,International Conference on Biomedical Electronics and Devices
36,International Conference on Bioinformatics
37,"International Joint Conference on Computer Vision, Imaging and Computer Graphics Theory and Applications"
38,International Conference on Computer Graphics Theory and Applications
39,International Conference on Information Visualization Theory and Applications
40,International Conference on Computer Vision Theory and Applications
41,International Conference on Bio-inspired Systems and Signal Processing
42,International Conference on Health Informatics
43,Biomedical Engineering Systems and Technologies
44,International Conference on Model-Driven Engineering and Software Development
45,"International Conference on Photonics, Optics and Laser Technology"
46,Security and Trust Management
47,Pervasive Computing and Communications
48,Taiwan Conference on Computational Linguistics and Speech Processing
49,Programming Language Design and Implementation
50,Evolutionary Computation in Combinatorial Optimization
51,European Conference/Workshop on Wireless Sensor Networks
52,"ACM Symposium on Information, Computer and Communications Security"
53,Intelligent RObots and Systems
54,Mobile and Ubiquitous Multimedia
55,Human Factors in Computing Systems
56,International Conference on Data Engineering
57,Conference on Data and Application Security and Privacy
58,International Conference on Information Networking
59,Virtual Reality Continuum and its Applications in Industry
60,Quality of Service in Heterogeneous Wired/Wireless Networks
61,Extending Database Technology
62,Image and Vision Computing New Zealand
63,Australasian Computing Education Conference
64,Technical Symposium on Computer Science Education
65,International Conference on Systems
66,Advances in Multimedia
67,"Broadband Communications, Networks and Systems"
68,Integrating Technology into Computer Science Education
69,The Cryptographer's Track at RSA Conference
70,Wireless Personal Multimedia Communications
71,Adaptive and Reflective Middleware
72,"New Trends in Software Methodologies, Tools and Techniques"
73,Information Processing and Management of Uncertainty
74,Dependable Systems and Networks
75,"Parallel, Distributed and Network-Based Processing"
76,Cloud Computing Projects and Initiatives
77,Conference on Decision and Control
78,Performance Evaluation Methodolgies and Tools
79,Pervasive Computing Technologies for Healthcare
80,"Mobile Computing, Applications, and Services"
81,Multimedia Signal Processing
82,ACM SIGMM Conference on Multimedia Systems
83,High Performance Switching and Routing
84,Research Challenges in Information Science
85,International Conference on Networks and Communications
86,"International Conference on Acoustics, Speech, and Signal Processing"
87,International Conference in Information Technology
88,"Knowledge, Information, and Creativity Support Systems"
89,Database Systems for Advanced Applications
90,International Symposium on Artificial Intelligence and Mathematics
91,International Conference on Social Computing
92,Integer Programming and Combinatorial Optimization
93,Adaptive Agents and Multi-Agents Systems
94,Parallel Problem Solving from Nature
95,World Congress on Computational Intelligence
96,Software Engineering for Adaptive and Self-Managing Systems
97,Virtual Execution Environments
98,Symposium on Theoretical Aspects of Computer Science
99,Trends in Functional Programming
100,Computer Graphics International
101,Meeting of the Association for Computational Linguistics
102,Language and Automata Theory and Applications
103,Compiler Construction
104,International Conference on Computing
105,International Conference on the Digital Society
106,Advances in Computer-Human Interaction
107,"International Conference on eHealth, Telemedicine, and Social Medicine"
108,"International Conference on Information, Process, and Knowledge Management"
109,Network and Distributed System Security Symposium
110,SIAM International Conference on Data Mining
111,International Conference in Central Europe on Computer Graphics and Visualization
112,Belgium-Netherlands Conference on Artificial Intelligence
113,IEEE Virtual Reality Conference
114,Software Engineering and Applications
115,Data Warehousing and OLAP
116,Theory and Applications of Models of Computation
117,International Symposium on Wireless Communication Systems
118,IEEE Pacific Visualization Symposium
119,International Conference on Parallel Processing
120,International Symposium on Performance Analysis of Systems and Software
121,International Conference on Web Services
122,Privacy in Statistical Databases
123,Intelligent Data Analysis
124,Solid and Physical Modeling
125,"User Modeling, Adaptation, and Personalization"
126,Design of Reliable Communication Networks
127,Design Automation Conference
128,Eurographics Workshop on Parallel Graphics and Visualization
129,International Conference on Smart Grids and Green IT Systems
130,The Florida AI Research Society
131,Applied Natural Language Processing Conference
132,International Symposium on Quality Electronic Design
133,Passive and Active Network Measurement
134,Symposium on Access Control Models and Technologies
135,Software Engineering im Unterricht der Hochschulen
136,International Symposium on Information Theory and its Applications
137,VLSI Test Symposium
138,Engineering Interactive Computing System
139,International Conference on Multimedia and Expo
140,"Mobile Wireless Middleware, Operating Systems, and Applications"
141,Information Processing in Sensor Networks
